"slug","nombre","precio","descripcion","categoria","imagenes","cantidad_imagenes","cantidad_variantes","detalle_variantes","compra_minima_tipo","compra_minima_valor"
"Z13bolso-matero-puffer-negro-azul","BOLSO MATERO PUFFER NEGRO/AZUL","12711","COMPRA MINIMA 6 UNIDADES, COLORES DE MODELO COMBINABLES.","BOLSOS MATEROS","/productos/Z13bolso-matero-puffer-negro-azul/images/0.png|/productos/Z13bolso-matero-puffer-negro-azul/images/1.png|/productos/Z13bolso-matero-puffer-negro-azul/images/2.png|/productos/Z13bolso-matero-puffer-negro-azul/images/3.png","4","0","","packs","6"
"Z14bolso-matero-puffer-azul-yerbera-y-azucarera-alquimia-duo-mate-ginebra-azul","BOLSO MATERO PUFFER AZUL + YERBERA Y AZUCARERA ALQUIMIA DUO + MATE GINEBRA AZUL",,"MODELO DEL MATE: MATE GINEBRA / COLORES DISPONIBLES: AZUL / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/Z14bolso-matero-puffer-azul-yerbera-y-azucarera-alquimia-duo-mate-ginebra-azul/images/0.png","1","0","","packs","6"
"Z15bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ginebra-negro","BOLSO MATERO PUFFER + YERBERA Y AZUCARERA ALQUIMIA DUO + MATE GINEBRA NEGRO",,"COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/Z15bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ginebra-negro/images/0.png","1","0","","packs","6"
"Z16bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro","BOLSO MATERO PUFFER + YERBERA Y AZUCARERA ALQUIMIA DUO + MATE RITUAL NEGRO",,"COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/Z16bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro/images/0.png","1","0","","packs","6"
"Z17bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-azul","BOLSO MATERO PUFFER + YERBERA Y AZUCARERA ALQUIMIA DUO + MATE RITUAL AZUL",,"COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/Z17bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-azul/images/0.png","1","0","","packs","6"
"Z18bolso-matero-puffer-print","BOLSO MATERO PUFFER PRINT",,"COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/Z18bolso-matero-puffer-print/images/0.png|/productos/Z18bolso-matero-puffer-print/images/1.png|/productos/Z18bolso-matero-puffer-print/images/2.png|/productos/Z18bolso-matero-puffer-print/images/3.png","4","0","","packs","6"
"Z19bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-blanco-yute","BOLSO MATERO PUFFER PRINT + YERBERA Y AZUCARERA ALQUIMIA DUO + MATE RITUAL NEGRO/BLANCO/YUTE",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: BLANCO - NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/Z19bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-blanco-yute/images/0.png|/productos/Z19bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-blanco-yute/images/1.png|/productos/Z19bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-blanco-yute/images/2.png","3","0","","packs","6"
"Z20bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-dtf-uv","BOLSO MATERO PUFFER + YERBERA Y AZUCARERA ALQUIMIA DUO + MATE RITUAL NEGRO DTF UV",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: NEGRO / MATERIAL DEL MATE: PLÃSTICO / COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/Z20bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-dtf-uv/images/0.png|/productos/Z20bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-dtf-uv/images/1.png|/productos/Z20bolso-matero-puffer-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-dtf-uv/images/2.png","3","0","","packs","6"
"Z21bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-dtf-uv","BOLSO MATERO PUFFER PRINT + YERBERA Y AZUCARERA ALQUIMIA DUO + MATE GINEBRA DTF UV",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: BLANCO - NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/Z21bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-dtf-uv/images/0.png","1","0","","packs","6"
"Z23A-bolso-matero-guarda-pampa","BOLSO MATERO GUARDA PAMPA","9209","BOLSO MATERO GUARDA PAMPA / COLORES DISPONIBLES: NEGRO, AZUL, VERDE, ROJO / COMPRA MINIMA 6 UNIDADES, COLORES COMBINABLES","BOLSOS MATEROS","/productos/Z23A-bolso-matero-guarda-pampa/images/0.jpg|/productos/Z23A-bolso-matero-guarda-pampa/images/1.png|/productos/Z23A-bolso-matero-guarda-pampa/images/2.jpg|/productos/Z23A-bolso-matero-guarda-pampa/images/3.jpg|/productos/Z23A-bolso-matero-guarda-pampa/images/4.jpg","5","0","","packs","6"
